Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-6.0171121998568164,1.5175610613176219e-06
164.52374695419385,-6.30754577858667,2.1632424261291215e-06
180.45375541231755,-6.626474187964173,3.163709991120249e-06
197.92618661593409,-6.976695057057635,4.172093446056058e-06
217.09038561605675,-7.361272777767935,5.281330428929626e-06
238.11015779522984,-7.783572931721286,6.413331485149835e-06
261.1651689888373,-8.247302485126877,7.635318237584927e-06
286.45248117312485,-8.756523022900115,9.031375036720482e-06
314.18823684618803,-9.3156940389605,1.0576484164547567e-05
344.60950649911035,-9.92971443655336,1.228476390809326e-05
377.97631496846196,-10.603969698635842,1.4180735414216696e-05
414.57386399033265,-11.344368408953887,1.6294723314350435e-05
454.71496995311946,-12.15738471362191,1.8667437619914833e-05
498.7427376856724,-13.05013770333077,2.1312658839496382e-05
547.0334931349296,-14.030450997957328,2.4239216097740023e-05
599.9999999999997,-15.106895252749979,2.7462651432418908e-05
