Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-6.035764776526092,9.487718236898428e-07
164.52374695419385,-6.325850849389417,1.8444553415962824e-06
180.45375541231755,-6.644402803884282,3.100581799984367e-06
197.92618661593409,-6.994213000219233,4.276646344734214e-06
217.09038561605675,-7.378343166096165,5.479094287930049e-06
238.11015779522984,-7.800161658237756,6.769524205519026e-06
261.1651689888373,-8.263362020329867,8.167827934717619e-06
286.45248117312485,-8.772004017306715,9.709404940838177e-06
314.18823684618803,-9.330549969818458,1.1386532046294307e-05
344.60950649911035,-9.943892398551032,1.3231431674992798e-05
377.97631496846196,-10.617396816445629,1.527942990579384e-05
414.57386399033265,-11.356974707258724,1.7590103369883446e-05
454.71496995311946,-12.169102529251905,2.0201100517306418e-05
498.7427376856724,-13.060876886147621,2.306343956088369e-05
547.0334931349296,-14.040120974339297,2.6312057430125103e-05
599.9999999999997,-15.11542155373314,2.9872030746373104e-05
