Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-6.034579214281075,1.2875544058633282e-05
164.52374695419385,-6.324672527164898,1.3297128990391676e-05
180.45375541231755,-6.643392863406807,1.3967570719176364e-05
197.92618661593409,-6.993483080713523,1.5026286643504485e-05
217.09038561605675,-7.377937548523645,1.621803316211115e-05
238.11015779522984,-7.8001146205621135,1.7505914639117377e-05
261.1651689888373,-8.263726442184502,1.886297452682136e-05
286.45248117312485,-8.772840407471332,2.0326515257600294e-05
314.18823684618803,-9.331916084892866,2.188989570072807e-05
344.60950649911035,-9.945853190413011,2.3578478159279675e-05
377.97631496846196,-10.6200308372041,2.5379856832678053e-05
414.57386399033265,-11.360352875369452,2.7229547584506252e-05
454.71496995311946,-12.173312382195821,2.923199595966507e-05
498.7427376856724,-13.066025071635949,3.133509674076716e-05
547.0334931349296,-14.046311473151087,3.3577836220021844e-05
599.9999999999997,-15.122755256769763,3.6405401648483164e-05
