Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-6.026553823260174,1.2614371422938217e-05
164.52374695419385,-6.316754002022459,1.3643557800839233e-05
180.45375541231755,-6.635443946155102,1.4749492837295134e-05
197.92618661593409,-6.985419959544162,1.5953752451965286e-05
217.09038561605675,-7.369754881384576,1.7260091742023176e-05
238.11015779522984,-7.79182252647198,1.8650728267504088e-05
261.1651689888373,-8.2553091090784,2.0141030875694277e-05
286.45248117312485,-8.76428312596739,2.1747365786216167e-05
314.18823684618803,-9.323224095996178,2.346610354167628e-05
344.60950649911035,-9.937013340648868,2.5331919249380248e-05
377.97631496846196,-10.611028579267876,2.7334616057332687e-05
414.57386399033265,-11.351186330205012,2.944501139755773e-05
454.71496995311946,-12.163973363412767,3.167849482555796e-05
498.7427376856724,-13.056548755195065,3.403150829219066e-05
547.0334931349296,-14.036775679508244,3.65255981875229e-05
599.9999999999997,-15.113186334684476,3.964143133736851e-05
