Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-6.025450782639527,1.1729804429088067e-06
164.52374695419385,-6.315531472996713,1.9484657191697423e-06
180.45375541231755,-6.634074376940394,3.1129883929977865e-06
197.92618661593409,-6.983872060707824,4.2655949439071565e-06
217.09038561605675,-7.367990881211939,5.415443334383629e-06
238.11015779522984,-7.78980046120373,6.726149334181514e-06
261.1651689888373,-8.252989488824726,8.146124525569841e-06
286.45248117312485,-8.761611988518096,9.649807717473877e-06
314.18823684618803,-9.320131030169234,1.131411804575436e-05
344.60950649911035,-9.933447155457582,1.3156761934400119e-05
377.97631496846196,-10.606923625800578,1.5223185501708058e-05
414.57386399033265,-11.34645373651757,1.7527636621743078e-05
454.71496995311946,-12.158526374265437,2.008233064628424e-05
498.7427376856724,-13.05025230623472,2.2886201490185462e-05
547.0334931349296,-14.029444188139575,2.6074336080175484e-05
599.9999999999997,-15.104682909525573,2.960564124007775e-05
