Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-6.016434800720941,1.3989448028859035e-06
164.52374695419385,-6.306490099699939,2.168406687302253e-06
180.45375541231755,-6.625003377202385,3.327196010509847e-06
197.92618661593409,-6.9747687541003645,4.426140425075786e-06
217.09038561605675,-7.358854897046008,5.6014723436512834e-06
238.11015779522984,-7.780626592078429,6.891731975642094e-06
261.1651689888373,-8.243772958558822,8.293811689198434e-06
286.45248117312485,-8.75235506988249,9.81147332700442e-06
314.18823684618803,-9.310830068969722,1.1505495936690043e-05
344.60950649911035,-9.924091279425756,1.337463771677509e-05
377.97631496846196,-10.597509869012654,1.5472839987384374e-05
414.57386399033265,-11.336979479572003,1.7808533786306815e-05
454.71496995311946,-12.148979106371046,2.0376751050478312e-05
498.7427376856724,-13.04062359891751,2.3237220610637225e-05
547.0334931349296,-14.019725372020606,2.6470934894118595e-05
599.9999999999997,-15.094866372424962,3.0043320894523935e-05
