Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-6.016995706805593,1.1902255812992523e-06
164.52374695419385,-6.307026276103494,2.012303755001065e-06
180.45375541231755,-6.625512971607395,3.261513218726435e-06
197.92618661593409,-6.975247812426316,4.405496562831478e-06
217.09038561605675,-7.359299792988949,5.628469999327661e-06
238.11015779522984,-7.781030738072441,6.917344015831116e-06
261.1651689888373,-8.24413254237638,8.306707000843157e-06
286.45248117312485,-8.752667144375742,9.823666601882148e-06
314.18823684618803,-9.311094743873515,1.152145864721017e-05
344.60950649911035,-9.92430176756489,1.3389855443928045e-05
377.97631496846196,-10.597661987579327,1.5530452430785682e-05
414.57386399033265,-11.337080381351353,1.7864397760754225e-05
454.71496995311946,-12.149025483996391,2.0384666603449133e-05
498.7427376856724,-13.040602051685026,2.320718005394651e-05
547.0334931349296,-14.01962900183603,2.641428323498436e-05
599.9999999999997,-15.09467837285545,3.004832556936441e-05
