Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-6.017662826828418,1.3201075136287543e-05
164.52374695419385,-6.30782097710049,1.4309295205793273e-05
180.45375541231755,-6.62646820219866,1.550211531144941e-05
197.92618661593409,-6.976406789123033,1.673501683104756e-05
217.09038561605675,-7.360725297231664,1.8032902453091683e-05
238.11015779522984,-7.782790660726219,1.9463766108087108e-05
261.1651689888373,-8.24628933637651,2.1040817343446978e-05
286.45248117312485,-8.75527783312534,2.2737452318081857e-05
314.18823684618803,-9.314219502365123,2.4533897641278298e-05
344.60950649911035,-9.928016088475509,2.647638257556087e-05
377.97631496846196,-10.602064176576183,2.8564418580501714e-05
414.57386399033265,-11.342269041124396,3.077981771222488e-05
454.71496995311946,-12.155117060992406,3.3171325102217877e-05
498.7427376856724,-13.047754212792203,3.572733138160029e-05
547.0334931349296,-14.028010223307511,3.8424365742010256e-05
599.9999999999997,-15.10438992667652,4.172072736302502e-05
