Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-6.014834812009242,1.4355527857471914e-05
164.52374695419385,-6.305534148595932,1.5460821333052447e-05
180.45375541231755,-6.624805561165755,1.6671850120175966e-05
197.92618661593409,-6.975432569051587,1.7972845809110017e-05
217.09038561605675,-7.360483571063606,1.937982702688214e-05
238.11015779522984,-7.783338985210267,2.0918059822610307e-05
261.1651689888373,-8.247692417061725,2.258209208138687e-05
286.45248117312485,-8.757606939222306,2.4387697971315258e-05
314.18823684618803,-9.317557868904352,2.6330457228890797e-05
344.60950649911035,-9.932452529879969,2.845943168289113e-05
377.97631496846196,-10.607681607142682,3.072940606086855e-05
414.57386399033265,-11.349158251630568,3.316085241448272e-05
454.71496995311946,-12.163370803564556,3.57817654687638e-05
498.7427376856724,-13.057445807714009,3.863953145409555e-05
547.0334931349296,-14.039228236492708,4.174699190091456e-05
599.9999999999997,-15.11718682219831,4.545047358295951e-05
