Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-6.023931995017072,1.5202379307130618e-06
164.52374695419385,-6.313624801679337,2.5905913702585365e-06
180.45375541231755,-6.631743187055885,4.133706278384803e-06
197.92618661593409,-6.981076449666547,5.631392686270893e-06
217.09038561605675,-7.364682262023154,7.17300445178977e-06
238.11015779522984,-7.785922462888728,8.800976932129186e-06
261.1651689888373,-8.248491198002965,1.0605814415705808e-05
286.45248117312485,-8.756443119592193,1.2592306326294965e-05
314.18823684618803,-9.314223425389349,1.4846533070868842e-05
344.60950649911035,-9.926717331668664,1.735787117324255e-05
377.97631496846196,-10.599299701012324,2.0074431958307764e-05
414.57386399033265,-11.337860858394428,2.299204306047953e-05
454.71496995311946,-12.148872252477506,2.634351313101967e-05
498.7427376856724,-13.03943476149873,3.0103272939656204e-05
547.0334931349296,-14.017342097461434,3.4264497321106276e-05
599.9999999999997,-15.09115458462151,3.890144295597889e-05
