Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-6.0348718440021685,1.4338529979669763e-05
164.52374695419385,-6.324343309659899,1.5471311683675822e-05
180.45375541231755,-6.642221292821025,1.6662189525202902e-05
197.92618661593409,-6.9912916025020735,1.7957713498391965e-05
217.09038561605675,-7.374619017226091,1.936533955005814e-05
238.11015779522984,-7.795561626229606,2.0851998303580312e-05
261.1651689888373,-8.257804043706079,2.243323482461967e-05
286.45248117312485,-8.76540514616861,2.411125424372103e-05
314.18823684618803,-9.322818414706642,2.592026676661415e-05
344.60950649911035,-9.93492960862756,2.779248314374322e-05
377.97631496846196,-10.607111546857286,2.9777138315596254e-05
414.57386399033265,-11.345245296591404,3.1887389804239154e-05
454.71496995311946,-12.155798748279206,3.406658697147017e-05
498.7427376856724,-13.045893015706977,3.634016895732108e-05
547.0334931349296,-14.023341031694752,3.8691405460682444e-05
599.9999999999997,-15.096711544057579,4.1791162840789376e-05
