Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-6.008772083893765,2.053324517825967e-06
164.52374695419385,-6.29889683054291,3.0044240663539965e-06
180.45375541231755,-6.617482994096216,4.472616026229111e-06
197.92618661593409,-6.9673208998726635,5.961680912367211e-06
217.09038561605675,-7.351480927973928,7.490918951060252e-06
238.11015779522984,-7.773331081586781,9.136249299825878e-06
261.1651689888373,-8.236565005702271,1.0968107325254584e-05
286.45248117312485,-8.745237390649187,1.2957549784656326e-05
314.18823684618803,-9.303808125104172,1.5144434121022358e-05
344.60950649911035,-9.917164201383589,1.7591549871594433e-05
377.97631496846196,-10.590685277562141,2.0290297722567113e-05
414.57386399033265,-11.330270110669687,2.332963771063203e-05
454.71496995311946,-12.142379517273344,2.6734561949028633e-05
498.7427376856724,-13.034142809254002,3.051844595471547e-05
547.0334931349296,-14.013377466150601,3.4715277177720645e-05
599.9999999999997,-15.088647329940816,3.934852334938173e-05
