Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-6.002661961687543,2.105232361584804e-06
164.52374695419385,-6.292564310192027,3.0440306905524223e-06
180.45375541231755,-6.610909552673265,4.547591647538647e-06
197.92618661593409,-6.960489035482172,5.99837595194708e-06
217.09038561605675,-7.34437013812992,7.5558362663767965e-06
238.11015779522984,-7.765920429461029,9.27275060819179e-06
261.1651689888373,-8.228824314378517,1.1120307840963228e-05
286.45248117312485,-8.737132161038861,1.3157777613277788e-05
314.18823684618803,-9.295306033003056,1.5447102774707266e-05
344.60950649911035,-9.908230967973347,1.7891193298802026e-05
377.97631496846196,-10.581284493414529,2.0587530510882922e-05
414.57386399033265,-11.32036386717461,2.3583407180129397e-05
454.71496995311946,-12.131932479925599,2.6963326760754955e-05
498.7427376856724,-13.023114261436357,3.0715893545967266e-05
547.0334931349296,-14.001717975977396,3.485781797502203e-05
599.9999999999997,-15.076294091621552,3.9490468821549836e-05
