Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-6.02119508238863,1.3576788603311502e-06
164.52374695419385,-6.310678147980331,2.510223363998876e-06
180.45375541231755,-6.628564674863942,4.157751843449515e-06
197.92618661593409,-6.977640208393349,5.656389067769919e-06
217.09038561605675,-7.360966169620225,7.216336140158823e-06
238.11015779522984,-7.781902741037927,8.870651791833722e-06
261.1651689888373,-8.244143248388795,1.0717523522294669e-05
286.45248117312485,-8.751731660718418,1.2730151450864575e-05
314.18823684618803,-9.309118956714562,1.4966954452443952e-05
344.60950649911035,-9.921192390391138,1.7465341037913865e-05
377.97631496846196,-10.59331544188379,2.022561391837097e-05
414.57386399033265,-11.331377743228822,2.3269210294202008e-05
454.71496995311946,-12.14183485128824,2.6641103830813567e-05
498.7427376856724,-13.031785362625357,3.038795934538703e-05
547.0334931349296,-14.009027863994467,3.4576512549296004e-05
599.9999999999997,-15.082136616771106,3.930106992636405e-05
