Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-6.004179074873089,1.8424191490982256e-05
164.52374695419385,-6.293886319848508,1.9996382406503025e-05
180.45375541231755,-6.6120240627432825,2.1699409729255153e-05
197.92618661593409,-6.961398703231163,2.3460475479747567e-05
217.09038561605675,-7.345134212112339,2.4985636464547632e-05
238.11015779522984,-7.766618405701754,2.6481245882885534e-05
261.1651689888373,-8.229555246016533,2.8349311656486384e-05
286.45248117312485,-8.738008064676713,3.061582690108092e-05
314.18823684618803,-9.29637572972828,3.3133875334315566e-05
344.60950649911035,-9.909536004670342,3.5846613164543704e-05
377.97631496846196,-10.582872354026028,3.876046861879311e-05
414.57386399033265,-11.322276622582248,4.187880426267326e-05
454.71496995311946,-12.134238266015451,4.5265072635127826e-05
498.7427376856724,-13.025885098306196,4.888583203969146e-05
547.0334931349296,-14.005038748080846,5.276877903812094e-05
599.9999999999997,-15.080305484820517,5.738844519442174e-05
