Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-6.00306468282296,1.4714790916845537e-06
164.52374695419385,-6.29292873576528,2.5712670893153527e-06
180.45375541231755,-6.611235583605162,4.162939638314751e-06
197.92618661593409,-6.960776642170117,5.675768939758909e-06
217.09038561605675,-7.344615173127508,7.345032892908524e-06
238.11015779522984,-7.766112333047472,9.040419204095854e-06
261.1651689888373,-8.228961565081423,1.085879996900572e-05
286.45248117312485,-8.737213293555245,1.2862938904680216e-05
314.18823684618803,-9.29533171535553,1.5029062215624999e-05
344.60950649911035,-9.90821152085481,1.7482393031642818e-05
377.97631496846196,-10.58121132020933,2.0221608414162108e-05
414.57386399033265,-11.320222639613688,2.327037753260024e-05
454.71496995311946,-12.13171784307735,2.6651164291416144e-05
498.7427376856724,-13.0228165244047,3.0399770107140233e-05
547.0334931349296,-14.001324593219945,3.4515123598760517e-05
599.9999999999997,-15.075797476404157,3.913203357481858e-05
