Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-6.009610736055793,9.517132875112165e-07
164.52374695419385,-6.29975854457088,1.7562183567747047e-06
180.45375541231755,-6.61837644639966,2.902699034136462e-06
197.92618661593409,-6.96825588826111,3.990033509898343e-06
217.09038561605675,-7.3524702668525155,5.063221551478981e-06
238.11015779522984,-7.774382299709522,6.275524397314414e-06
261.1651689888373,-8.237684859059888,7.564766351261247e-06
286.45248117312485,-8.746442305252673,8.980864700435402e-06
314.18823684618803,-9.305115437295314,1.055656340465709e-05
344.60950649911035,-9.918597056230833,1.2309807698776267e-05
377.97631496846196,-10.592261366733258,1.4247398527741323e-05
414.57386399033265,-11.33201385026932,1.6404979934678162e-05
454.71496995311946,-12.14433018754792,1.881442710147935e-05
498.7427376856724,-13.036327890023458,2.1448012212746722e-05
547.0334931349296,-14.015831312000174,2.4372598239870307e-05
599.9999999999997,-15.091410853315429,2.7624171787707403e-05
