Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-6.000001769703079,1.1298270162189215e-06
164.52374695419385,-6.289421530946198,2.349249276217523e-06
180.45375541231755,-6.6072373877566095,4.038049664218929e-06
197.92618661593409,-6.956231717404087,5.5483654851978476e-06
217.09038561605675,-7.339473720260662,7.139849424374716e-06
238.11015779522984,-7.760322239643957,8.871526139966766e-06
261.1651689888373,-8.222459757343481,1.0748863556802078e-05
286.45248117312485,-8.729940995179277,1.2783607061049562e-05
314.18823684618803,-9.287207442548166,1.502002733012819e-05
344.60950649911035,-9.89914061566683,1.7472149063465108e-05
377.97631496846196,-10.5711155711209,2.023867518964069e-05
414.57386399033265,-11.309012629941915,2.3298170036869597e-05
454.71496995311946,-12.119281611771859,2.659833336769928e-05
498.7427376856724,-13.00903389003999,3.0299081463561725e-05
547.0334931349296,-13.986075688341424,3.447677831306456e-05
599.9999999999997,-15.058952910480116,3.9101690972011396e-05
