Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-6.000235145858417,1.4851101175127418e-05
164.52374695419385,-6.289699978955824,1.6051851350185352e-05
180.45375541231755,-6.607570678680547,1.7333163958527793e-05
197.92618661593409,-6.956634806083825,1.8686428511932013e-05
217.09038561605675,-7.339955003212968,2.0137490723130883e-05
238.11015779522984,-7.760897570778475,2.1687230773169045e-05
261.1651689888373,-8.223156054954334,2.33686095730531e-05
286.45248117312485,-8.730781060253126,2.5141188231778243e-05
314.18823684618803,-9.288223674932091,2.7037933740204028e-05
344.60950649911035,-9.900378098398173,2.909057295537444e-05
377.97631496846196,-10.572606864056828,3.1265964843159205e-05
414.57386399033265,-11.310809363558299,3.353888102453966e-05
454.71496995311946,-12.121470581400553,3.59136244951894e-05
498.7427376856724,-13.01172402639798,3.8428778180825664e-05
547.0334931349296,-13.989412342966673,4.096812256421645e-05
599.9999999999997,-15.06308999324958,4.4262662761226357e-05
