Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-5.986437861508053,1.1765296182040932e-06
164.52374695419385,-6.275889038994,2.3374929827394977e-06
180.45375541231755,-6.5937418436056605,3.931068405842628e-06
197.92618661593409,-6.942783819935505,5.4408958411254595e-06
217.09038561605675,-7.326074294075761,6.971050202111893e-06
238.11015779522984,-7.746969654346692,8.643773171916807e-06
261.1651689888373,-8.209160813496341,1.0480882004363125e-05
286.45248117312485,-8.716699349625799,1.2505437871285874e-05
314.18823684618803,-9.274033529705946,1.4692501880602511e-05
344.60950649911035,-9.886043352437074,1.7150189084375693e-05
377.97631496846196,-10.558092438717132,1.9882682222163277e-05
414.57386399033265,-11.2960778848168,2.295658160253304e-05
454.71496995311946,-12.106467685468669,2.6373903720084694e-05
498.7427376856724,-12.996355178168978,3.014492254008168e-05
547.0334931349296,-13.973525105103297,3.4310114317294483e-05
599.9999999999997,-15.046534104625312,3.893893031741954e-05
