Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-5.998065007152554,1.9765857119341395e-05
164.52374695419385,-6.287776116602161,2.137201890740985e-05
180.45375541231755,-6.605942260541092,2.3159557640270396e-05
197.92618661593409,-6.9553509833249,2.5113600225589888e-05
217.09038561605675,-7.339072830632169,2.7262030756057678e-05
238.11015779522984,-7.7604635949143725,2.9578805197360502e-05
261.1651689888373,-8.223202424898648,3.209416025560972e-05
286.45248117312485,-8.73135559242084,3.482905625928921e-05
314.18823684618803,-9.289380299680472,3.778920185294866e-05
344.60950649911035,-9.902172650134672,4.100880866551089e-05
377.97631496846196,-10.57511779769689,4.4464357573615506e-05
414.57386399033265,-11.314120900266847,4.82211184261133e-05
454.71496995311946,-12.125660919054877,5.2302589247516125e-05
498.7427376856724,-13.016860993323693,5.668572094132459e-05
547.0334931349296,-13.995567237001712,6.138307729046258e-05
599.9999999999997,-15.07038653631759,6.685638866028943e-05
