Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-6.006638356842594,1.496195428733524e-06
164.52374695419385,-6.296239982904905,2.587770995130781e-06
180.45375541231755,-6.614259263283467,4.174064725581616e-06
197.92618661593409,-6.963479085428577,5.715122225352307e-06
217.09038561605675,-7.346957444117534,7.313458410191658e-06
238.11015779522984,-7.768064047972542,8.95026388391152e-06
261.1651689888373,-8.230483269184415,1.0776887404043623e-05
286.45248117312485,-8.738265485684348,1.2817694125928845e-05
314.18823684618803,-9.29586757091354,1.5040722070812774e-05
344.60950649911035,-9.908174095152878,1.7460892225099154e-05
377.97631496846196,-10.580549759688619,2.015912144160107e-05
414.57386399033265,-11.318880969223214,2.313802721563494e-05
454.71496995311946,-12.129630570544666,2.6499158242354616e-05
498.7427376856724,-13.019907264748534,3.032321681308523e-05
547.0334931349296,-13.997507754940324,3.454548083711945e-05
599.9999999999997,-15.070996521368759,3.922531096822028e-05
