Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-6.007375040258502,1.5984336014023858e-05
164.52374695419385,-6.297090026025931,1.7308062100682338e-05
180.45375541231755,-6.615235155585012,1.8732708989601406e-05
197.92618661593409,-6.964605739835027,2.0247890006793447e-05
217.09038561605675,-7.348271007203266,2.1871309395646077e-05
238.11015779522984,-7.7695951862561525,2.363165716336819e-05
261.1651689888373,-8.232275791795805,2.5528306633818065e-05
286.45248117312485,-8.74038057310857,2.7539395125933534e-05
314.18823684618803,-9.298362383741756,2.9641659569989953e-05
344.60950649911035,-9.911111604457513,3.195227850240222e-05
377.97631496846196,-10.584007545555256,3.4379494522990575e-05
414.57386399033265,-11.322953360679701,3.69739769435608e-05
454.71496995311946,-12.134427439706506,3.977426446035273e-05
498.7427376856724,-13.025556418215235,4.276422404299398e-05
547.0334931349296,-14.004153847335115,4.593817588520825e-05
599.9999999999997,-15.078795108838259,4.9803925111972674e-05
