Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-5.984003932994826,1.5794031305690427e-06
164.52374695419385,-6.2737053642623,2.6620092836225163e-06
180.45375541231755,-6.591833612828073,4.259429233300658e-06
197.92618661593409,-6.94117240572867,5.761795941290693e-06
217.09038561605675,-7.324783701231537,7.3202485077107535e-06
238.11015779522984,-7.7460333339622505,9.002138280846205e-06
261.1651689888373,-8.20861456594854,1.081563944713281e-05
286.45248117312485,-8.716579818734214,1.283509214980324e-05
314.18823684618803,-9.274374982054372,1.5035257144382994e-05
344.60950649911035,-9.886894897647487,1.7508816592613728e-05
377.97631496846196,-10.559509578531278,2.0263576595610537e-05
414.57386399033265,-11.298102640958225,2.3324293067336314e-05
454.71496995311946,-12.109150304132587,2.671183705741303e-05
498.7427376856724,-12.999755723553543,3.0488266895077874e-05
547.0334931349296,-13.9777198555478,3.464251412249604e-05
599.9999999999997,-15.051617929845724,3.931908331124548e-05
