Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-5.987128826411642,2.1008624235767047e-05
164.52374695419385,-6.2774035444034535,2.268121804816695e-05
180.45375541231755,-6.5962107041804305,2.460456852911417e-05
197.92618661593409,-6.946324035717959,2.6750580947259963e-05
217.09038561605675,-7.330807980405902,2.9081800006630767e-05
238.11015779522984,-7.7530177751237,3.162585744013526e-05
261.1651689888373,-8.216651226416692,3.439928170368138e-05
286.45248117312485,-8.725780427145226,3.742079450489394e-05
314.18823684618803,-9.284865701147243,4.0691069094097306e-05
344.60950649911035,-9.898805502587749,4.4225787625247945e-05
377.97631496846196,-10.572983378826539,4.803426135334201e-05
414.57386399033265,-11.313317781384425,5.215588202352757e-05
454.71496995311946,-12.126309968229256,5.6655132650668375e-05
498.7427376856724,-13.019085573142172,6.151483427442264e-05
547.0334931349296,-13.999491381918656,6.67255228383535e-05
599.9999999999997,-15.07603779499409,7.275987772669974e-05
