Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-5.999222148914849,1.9601028992569967e-06
164.52374695419385,-6.289152325672586,2.9808323350026216e-06
180.45375541231755,-6.607532236419141,4.5944359692067065e-06
197.92618661593409,-6.957149373706221,6.106815626331409e-06
217.09038561605675,-7.341067501653346,7.684968747599835e-06
238.11015779522984,-7.7626495309918395,9.342757985997505e-06
261.1651689888373,-8.225585316675353,1.113062521353504e-05
286.45248117312485,-8.733930929004982,1.312733396597691e-05
314.18823684618803,-9.292144716585721,1.5354016231371562e-05
344.60950649911035,-9.905123297911103,1.784321109619132e-05
377.97631496846196,-10.578226182542393,2.0519497076283107e-05
414.57386399033265,-11.3173535601228,2.349006003884877e-05
454.71496995311946,-12.128977401252829,2.684383898027907e-05
498.7427376856724,-13.020202805352284,3.061270590672374e-05
547.0334931349296,-13.998843682098245,3.477548750386416e-05
599.9999999999997,-15.073460712851702,3.94454548566168e-05
