Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-5.996617439342925,1.4652755754090875e-06
164.52374695419385,-6.286062574433817,2.5093037849240257e-06
180.45375541231755,-6.603906599207734,4.0815837332151085e-06
197.92618661593409,-6.9529409657717265,5.6275496849025536e-06
217.09038561605675,-7.336225068874967,7.170813326079975e-06
238.11015779522984,-7.757114099331453,8.762908271176428e-06
261.1651689888373,-8.219294150128476,1.0586691828002092e-05
286.45248117312485,-8.726825508320315,1.2620213135286832e-05
314.18823684618803,-9.284153699706172,1.4840447579973982e-05
344.60950649911035,-9.896154676330601,1.7293157164292853e-05
377.97631496846196,-10.568194448021396,2.006651710889466e-05
414.57386399033265,-11.30615899379411,2.3132642559561858e-05
454.71496995311946,-12.116513528019777,2.6485367564810804e-05
498.7427376856724,-13.00636500681183,3.0248023657729265e-05
547.0334931349296,-13.983511665246311,3.448841698492148e-05
599.9999999999997,-15.056505138948761,3.9207878980639555e-05
