Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-5.99747745292212,1.74715883621073e-05
164.52374695419385,-6.287063051641568,1.8906965908004735e-05
180.45375541231755,-6.605085216459814,2.0486507418885413e-05
197.92618661593409,-6.95432829482012,2.2201053570300312e-05
217.09038561605675,-7.337847055846106,2.4042377857902375e-05
238.11015779522984,-7.759010936892409,2.6009567791042774e-05
261.1651689888373,-8.221522045271053,2.8146020583496358e-05
286.45248117312485,-8.729434623727679,3.0453614911470712e-05
314.18823684618803,-9.28720108078622,3.294839623158408e-05
344.60950649911035,-9.899711695914615,3.563758545934616e-05
377.97631496846196,-10.572345669373039,3.8533311135486114e-05
414.57386399033265,-11.311014703414745,4.156448116825663e-05
454.71496995311946,-12.122207974524834,4.481803307020077e-05
498.7427376856724,-13.01306014357046,4.8308228640178675e-05
547.0334931349296,-13.991403633544966,5.2055796993670654e-05
599.9999999999997,-15.06580644860112,5.655666767315253e-05
