Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-6.013752335397569,1.4488138447594614e-06
164.52374695419385,-6.303294053313401,2.5733335824648657e-06
180.45375541231755,-6.6212476773166715,4.2414450139215594e-06
197.92618661593409,-6.970397540998155,5.733834486520726e-06
217.09038561605675,-7.353805258984361,7.278235129881639e-06
238.11015779522984,-7.774829282882472,8.969645896054399e-06
261.1651689888373,-8.237158558486266,1.0732056924784082e-05
286.45248117312485,-8.744850077993238,1.2733374243058159e-05
314.18823684618803,-9.302350121078604,1.4959436380583036e-05
344.60950649911035,-9.914542818456198,1.7410650487446396e-05
377.97631496846196,-10.586801220921483,2.011710466278756e-05
414.57386399033265,-11.325003790183896,2.3150500745712077e-05
454.71496995311946,-12.135610317865934,2.652890649074816e-05
498.7427376856724,-13.025725794983916,3.0305442867666126e-05
547.0334931349296,-14.003146003065769,3.454503374791353e-05
599.9999999999997,-15.076434915997904,3.925066436373104e-05
