Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-6.008246566826429,1.3631452695649549e-05
164.52374695419385,-6.298521074747781,1.4789709814540904e-05
180.45375541231755,-6.617295989574799,1.604187443319371e-05
197.92618661593409,-6.967367082210929,1.739989492477606e-05
217.09038561605675,-7.35180485929507,1.887437170366347e-05
238.11015779522984,-7.773983441619038,2.0472860463062954e-05
261.1651689888373,-8.2375957624796,2.2176460296924812e-05
286.45248117312485,-8.746711457450342,2.402197779004652e-05
314.18823684618803,-9.305802229637951,2.6025458075091573e-05
344.60950649911035,-9.919766458467505,2.818364613989691e-05
377.97631496846196,-10.593989462699334,3.051193854558147e-05
414.57386399033265,-11.334381356022725,3.3035212010998734e-05
454.71496995311946,-12.147432908981916,3.5753504025997305e-05
498.7427376856724,-13.040294329909964,3.8689433602752196e-05
547.0334931349296,-14.020823796127738,4.179863832119557e-05
599.9999999999997,-15.097542656210402,4.5492495886790226e-05
