Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-5.998063198518204,1.137912364249611e-06
164.52374695419385,-6.2873383492706685,2.3689998539685736e-06
180.45375541231755,-6.605000492675022,4.04637903996502e-06
197.92618661593409,-6.953834028657764,5.580032610658393e-06
217.09038561605675,-7.336894414470923,7.131319732205476e-06
238.11015779522984,-7.757540009878111,8.823319546420056e-06
261.1651689888373,-8.219464825354386,1.0656913267248922e-05
286.45248117312485,-8.72671769968797,1.2664093129169133e-05
314.18823684618803,-9.28374170541367,1.486494038648059e-05
344.60950649911035,-9.895419368146772,1.731810715996205e-05
377.97631496846196,-10.567104119198223,2.0015171996962775e-05
414.57386399033265,-11.304686081002526,2.3018731948013937e-05
454.71496995311946,-12.114629750700583,2.633629801984111e-05
498.7427376856724,-13.004037831743611,3.0060855211870535e-05
547.0334931349296,-13.980712967328397,3.4289424491919835e-05
599.9999999999997,-15.053203541878528,3.8966115257647765e-05
