Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-5.983738867808888,2.6079670750225247e-06
164.52374695419385,-6.273094854198848,3.4929528416514346e-06
180.45375541231755,-6.590846251696941,4.9449168940776996e-06
197.92618661593409,-6.939775015903278,6.3301728200564396e-06
217.09038561605675,-7.322943379381682,7.861641468732727e-06
238.11015779522984,-7.743711150323731,9.533523976996339e-06
261.1651689888373,-8.205760768876312,1.1389227188005112e-05
286.45248117312485,-8.713140668405993,1.3350308346136145e-05
314.18823684618803,-9.270298726753584,1.5559294839885753e-05
344.60950649911035,-9.882112670418293,1.8038751538737762e-05
377.97631496846196,-10.55394239588389,2.0795277580051223e-05
414.57386399033265,-11.29168679224046,2.3841576335221044e-05
454.71496995311946,-12.10181150228709,2.730140339875679e-05
498.7427376856724,-12.991403156032439,3.108263722394279e-05
547.0334931349296,-13.96825808173729,3.532230459101575e-05
599.9999999999997,-15.04093546782806,3.997610273976249e-05
