Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-6.00185177379595,9.259152777207089e-07
164.52374695419385,-6.2918041700769045,1.7351580371591122e-06
180.45375541231755,-6.610207505610139,2.910130191659213e-06
197.92618661593409,-6.959854586491675,3.966489072047484e-06
217.09038561605675,-7.343812728548753,5.050549740641727e-06
238.11015779522984,-7.765444925605588,6.218330559198653e-06
261.1651689888373,-8.228444449981197,7.478586532378896e-06
286.45248117312485,-8.736872504972046,8.880851488860457e-06
314.18823684618803,-9.295183122057415,1.043781585577101e-05
344.60950649911035,-9.908265952836455,1.2181084039129289e-05
377.97631496846196,-10.58150373092489,1.4098284818766868e-05
414.57386399033265,-11.320790611280916,1.6219029175180682e-05
454.71496995311946,-12.132598552225843,1.8670892699169407e-05
498.7427376856724,-13.024050294950857,2.1347338800960686e-05
547.0334931349296,-14.002953764595233,2.4276899869156318e-05
599.9999999999997,-15.077882460696014,2.760015728547997e-05
