Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-5.991210684489132,2.0768812153466798e-05
164.52374695419385,-6.281706669237338,2.23690783651115e-05
180.45375541231755,-6.600783126987352,2.4029310941542865e-05
197.92618661593409,-6.951233989647339,2.586435963603672e-05
217.09038561605675,-7.336108853080431,2.791012526912829e-05
238.11015779522984,-7.758802598740736,3.0132418237724505e-05
261.1651689888373,-8.223039083927102,3.2488641065538054e-05
286.45248117312485,-8.732887778863773,3.498701915432552e-05
314.18823684618803,-9.292814744231778,3.774745595887144e-05
344.60950649911035,-9.9077233369175,4.080910937081728e-05
377.97631496846196,-10.58300170538779,4.4163938647576505e-05
414.57386399033265,-11.324569537239398,4.782942462522988e-05
454.71496995311946,-12.13893457806179,5.1860482170641916e-05
498.7427376856724,-13.033241639056655,5.630967104748413e-05
547.0334931349296,-14.015342239353123,6.115524072347736e-05
599.9999999999997,-15.093679697555377,6.674137173104443e-05
