Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-6.034637086862332,1.562042294234553e-06
164.52374695419385,-6.324321845080073,2.5762015619060873e-06
180.45375541231755,-6.642425783849498,4.100045571013568e-06
197.92618661593409,-6.991737461680297,5.592646436566471e-06
217.09038561605675,-7.375318723352683,7.119047805843602e-06
238.11015779522984,-7.796531838308745,8.75699172385832e-06
261.1651689888373,-8.259067670506404,1.0541966147856091e-05
286.45248117312485,-8.766975000370838,1.2476917556518894e-05
314.18823684618803,-9.324706667046266,1.4633205948511063e-05
344.60950649911035,-9.937149699270174,1.6989390786017203e-05
377.97631496846196,-10.609669721282776,1.9639728428742478e-05
414.57386399033265,-11.348153799574556,2.2621144170614604e-05
454.71496995311946,-12.159071727511266,2.5901502203650757e-05
498.7427376856724,-13.049532566300348,2.9544696033164563e-05
547.0334931349296,-14.027324121895457,3.358519200264787e-05
599.9999999999997,-15.101009574153204,3.81513424772179e-05
