Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-6.032002476923408,1.9047583286063725e-06
164.52374695419385,-6.321760478012985,2.886222989972453e-06
180.45375541231755,-6.639945604373575,4.4010659055159205e-06
197.92618661593409,-6.989344145991384,5.824275568768056e-06
217.09038561605675,-7.373022112923404,7.359342941970622e-06
238.11015779522984,-7.794344466916894,9.031042362401204e-06
261.1651689888373,-8.256996012018536,1.0829023938813941e-05
286.45248117312485,-8.765031770819121,1.27886361335885e-05
314.18823684618803,-9.32290591712993,1.4970292336955845e-05
344.60950649911035,-9.935500174617731,1.7425057569150117e-05
377.97631496846196,-10.60817714378646,2.012833430788003e-05
414.57386399033265,-11.346825468128497,2.3091535591307165e-05
454.71496995311946,-12.157920596283475,2.644131402098396e-05
498.7427376856724,-13.048570501630405,3.0131821479867806e-05
547.0334931349296,-14.02657526282537,3.4261629584666616e-05
599.9999999999997,-15.100492404212943,3.8879848992752326e-05
