Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-6.032578114736277,1.464458095269626e-05
164.52374695419385,-6.322412788330238,1.5823896978063464e-05
180.45375541231755,-6.640683345399692,1.7084570462206828e-05
197.92618661593409,-6.9901807930264,1.8450480556290326e-05
217.09038561605675,-7.373966377973948,1.9908487698031983e-05
238.11015779522984,-7.795404014772828,2.1475336945281755e-05
261.1651689888373,-8.258184767672756,2.31479990271694e-05
286.45248117312485,-8.766359193689384,2.49116570710404e-05
314.18823684618803,-9.32438982215039,2.6811821109724476e-05
344.60950649911035,-9.93716458364214,2.8803873052068037e-05
377.97631496846196,-10.610047910422235,3.094171455505955e-05
414.57386399033265,-11.348941143990851,3.32049393848791e-05
454.71496995311946,-12.160311849748059,3.5580318416134105e-05
498.7427376856724,-13.051262771032532,3.8109044093984456e-05
547.0334931349296,-14.02961622347387,4.075057210961424e-05
599.9999999999997,-15.103956894099175,4.410259584764951e-05
