Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-6.0114030065753346,2.056084269974265e-06
164.52374695419385,-6.301417458770587,3.021430193480034e-06
180.45375541231755,-6.619886044448663,4.4946897854460976e-06
197.92618661593409,-6.969598847042865,5.910598436174104e-06
217.09038561605675,-7.353616553105825,7.447888911392329e-06
238.11015779522984,-7.775305453065526,9.070979826469362e-06
261.1651689888373,-8.238361417137579,1.0826187865711395e-05
286.45248117312485,-8.746843776536647,1.2808663519862054e-05
314.18823684618803,-9.305208786558762,1.497368909563322e-05
344.60950649911035,-9.918346234740401,1.7423285708160674e-05
377.97631496846196,-10.591622158009553,2.0089492289481136e-05
414.57386399033265,-11.330932020998954,2.3067303975856247e-05
454.71496995311946,-12.142748055683455,2.6498551970463988e-05
498.7427376856724,-13.034179251845782,3.0265237830708492e-05
547.0334931349296,-14.013038047543398,3.4458127393002615e-05
599.9999999999997,-15.08788620043508,3.906321250127861e-05
