Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-6.013656153052616,1.525629733194854e-05
164.52374695419385,-6.303937170991132,1.6463923361718152e-05
180.45375541231755,-6.62269722226755,1.778305191597397e-05
197.92618661593409,-6.972728315069783,1.921380675220939e-05
217.09038561605675,-7.357104258526991,2.0748274099546058e-05
238.11015779522984,-7.779194589393318,2.240930997681937e-05
261.1651689888373,-8.24268646902364,2.420820091045806e-05
286.45248117312485,-8.75163709854342,2.6129687373547038e-05
314.18823684618803,-9.310508157062788,2.818528350639047e-05
344.60950649911035,-9.924178847655263,3.0389227119272713e-05
377.97631496846196,-10.598011133255563,3.275592913705805e-05
414.57386399033265,-11.33791352666451,3.530631129566158e-05
454.71496995311946,-12.150375611131132,3.7991102340904397e-05
498.7427376856724,-13.042511062451032,4.081378636706022e-05
547.0334931349296,-14.022124649189184,4.381936206758223e-05
599.9999999999997,-15.097798063469128,4.753491454412662e-05
