Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-6.022326768617716,1.5645239122572515e-05
164.52374695419385,-6.312588557988318,1.6923094541060805e-05
180.45375541231755,-6.631344695236204,1.8284392508056856e-05
197.92618661593409,-6.981384432656964,1.976455542949213e-05
217.09038561605675,-7.365789186128703,2.1335407441510894e-05
238.11015779522984,-7.7879334784169885,2.302612628632611e-05
261.1651689888373,-8.251506030038975,2.4821097636887675e-05
286.45248117312485,-8.760580250734627,2.6729706112566947e-05
314.18823684618803,-9.31962658910486,2.8785037454230685e-05
344.60950649911035,-9.933536683246563,3.1005381163573684e-05
377.97631496846196,-10.607668983835636,3.3405723190870954e-05
414.57386399033265,-11.34792134345939,3.597521650418659e-05
454.71496995311946,-12.160768880002248,3.8708251654238866e-05
498.7427376856724,-13.053335673299717,4.1666916346503184e-05
547.0334931349296,-14.033426079298868,4.4819242271057835e-05
599.9999999999997,-15.10961876857456,4.865374855012756e-05
