Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-6.020088634034542,1.8540969704518548e-06
164.52374695419385,-6.310105594829008,2.842001295713235e-06
180.45375541231755,-6.628577088770567,4.4206056854775985e-06
197.92618661593409,-6.978294164321076,5.9083119660568895e-06
217.09038561605675,-7.36231963337287,7.493730860367203e-06
238.11015779522984,-7.784018066748206,9.182676633310931e-06
261.1651689888373,-8.247084720009115,1.101197547952131e-05
286.45248117312485,-8.755573722056598,1.3020037498081237e-05
314.18823684618803,-9.313947285871635,1.521049616414717e-05
344.60950649911035,-9.92710404221819,1.7658280873643357e-05
377.97631496846196,-10.60040241707772,2.046197784887933e-05
414.57386399033265,-11.339731320156474,2.3514308901343187e-05
454.71496995311946,-12.151576363613339,2.6933100768824716e-05
498.7427376856724,-13.043045503474875,3.0707694643634805e-05
547.0334931349296,-14.021931993703124,3.489718766644096e-05
599.9999999999997,-15.096820280782627,3.945842493346956e-05
