Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-6.052837653600538,7.656846340879633e-07
164.52374695419385,-6.342077495939365,2.161786315980212e-06
180.45375541231755,-6.659700217922646,3.923312856306822e-06
197.92618661593409,-7.008496521079546,5.503052078176345e-06
217.09038561605675,-7.3915157705000425,7.120714870033808e-06
238.11015779522984,-7.812108079815109,8.843397961033071e-06
261.1651689888373,-8.273971285532886,1.0691900222105508e-05
286.45248117312485,-8.781153633052522,1.2701400685022384e-05
314.18823684618803,-9.338096908491282,1.4955184632615181e-05
344.60950649911035,-9.949687830652417,1.7433677271448912e-05
377.97631496846196,-10.621288660478474,2.014904783381283e-05
414.57386399033265,-11.358769379204675,2.3218160060609207e-05
454.71496995311946,-12.168608783378824,2.660283129008287e-05
498.7427376856724,-13.057895692700871,3.0428584352326144e-05
547.0334931349296,-14.034416437495889,3.466936052637583e-05
599.9999999999997,-15.106733110765308,3.9339817114258306e-05
