Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-6.006861944395752,2.210680004823677e-05
164.52374695419385,-6.296155539336569,2.3985083522763302e-05
180.45375541231755,-6.613924356741643,2.55249954934107e-05
197.92618661593409,-6.9629428022591755,2.709034962158241e-05
217.09038561605675,-7.34623831014589,2.8902548761317124e-05
238.11015779522984,-7.767201783511668,3.10069130462642e-05
261.1651689888373,-8.229582261851979,3.339921522882529e-05
286.45248117312485,-8.737426182388967,3.5993784600258e-05
314.18823684618803,-9.295130353767387,3.883408157550887e-05
344.60950649911035,-9.907623216893802,4.203379591898066e-05
377.97631496846196,-10.580291469164191,4.5589985605222626e-05
414.57386399033265,-11.319025945487232,4.9391540538809454e-05
454.71496995311946,-12.130333996470029,5.3514210750072385e-05
498.7427376856724,-13.021445542302086,5.774296303192105e-05
547.0334931349296,-14.00025025678885,6.214846711034261e-05
599.9999999999997,-15.074839258957477,6.753697652711886e-05
