Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-6.005024580308162,1.8297621235877676e-05
164.52374695419385,-6.294514669813486,1.9626450984593123e-05
180.45375541231755,-6.612450910041787,2.118496362535378e-05
197.92618661593409,-6.961613368230604,2.292920190676402e-05
217.09038561605675,-7.345059125406358,2.4822945222584276e-05
238.11015779522984,-7.766147459450049,2.687655280054516e-05
261.1651689888373,-8.228566069185042,2.9103538106353417e-05
286.45248117312485,-8.736372081728078,3.1479281805589214e-05
314.18823684618803,-9.2940182791662,3.405667559040968e-05
344.60950649911035,-9.906402262210454,3.680929849948047e-05
377.97631496846196,-10.578908983856284,3.981112394656981e-05
414.57386399033265,-11.317441307718012,4.3032876703217134e-05
454.71496995311946,-12.128477793906745,4.6456064577207524e-05
498.7427376856724,-13.019151460982481,5.008147747184034e-05
547.0334931349296,-13.997295891777966,5.39608832931399e-05
599.9999999999997,-15.071400985142947,5.861872698620912e-05
