Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-6.039027600589851,1.042551627998562e-06
164.52374695419385,-6.328382109532957,2.273005347003301e-06
180.45375541231755,-6.646129976054927,3.991139089749543e-06
197.92618661593409,-6.995060755938833,5.507520123766131e-06
217.09038561605675,-7.378227171202657,7.070064514831082e-06
238.11015779522984,-7.798985277614217,8.722715727577527e-06
261.1651689888373,-8.261027384038929,1.0539446560643307e-05
286.45248117312485,-8.768405201029676,1.2561173615634402e-05
314.18823684618803,-9.325560666578754,1.4756636378379764e-05
344.60950649911035,-9.937378350423943,1.7160645934473876e-05
377.97631496846196,-10.609220716781566,1.9799796195203573e-05
414.57386399033265,-11.346969142900429,2.2755159908660117e-05
454.71496995311946,-12.15708477383606,2.6074864214886717e-05
498.7427376856724,-13.046667196776056,2.977116758547332e-05
547.0334931349296,-14.023513871208797,3.3947575377023755e-05
599.9999999999997,-15.096196453280793,3.864354095855828e-05
