Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-5.990258929516596,1.3362539043749433e-06
164.52374695419385,-6.2798584091387415,2.4499152546750214e-06
180.45375541231755,-6.597870322655746,4.1190469125792e-06
197.92618661593409,-6.947085507556649,5.67782166005735e-06
217.09038561605675,-7.330571937196038,7.251182084426482e-06
238.11015779522984,-7.751686467048771,8.938151036840153e-06
261.1651689888373,-8.214119817516146,1.0749762850523878e-05
286.45248117312485,-8.721924259621563,1.2710844999442696e-05
314.18823684618803,-9.279545662817728,1.4955553744879559e-05
344.60950649911035,-9.891871332820914,1.741777114223906e-05
377.97631496846196,-10.564275121072956,2.015948164186082e-05
414.57386399033265,-11.302639578159623,2.323658180008757e-05
454.71496995311946,-12.1134335542944,2.66354777439007e-05
498.7427376856724,-13.003784099278292,3.0413593954412768e-05
547.0334931349296,-13.981471920731632,3.465570291784929e-05
599.9999999999997,-15.055057000247704,3.9299791548481435e-05
