Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-6.03187967160957,1.8888188022533148e-06
164.52374695419385,-6.321627988057365,2.904118341632023e-06
180.45375541231755,-6.639804106020658,4.461718091485425e-06
197.92618661593409,-6.989193401434531,5.926058659351364e-06
217.09038561605675,-7.372859188595851,7.451253425807114e-06
238.11015779522984,-7.794169158450421,9.108114333583125e-06
261.1651689888373,-8.256809550642846,1.094165566107751e-05
286.45248117312485,-8.764834310256592,1.2989095992034925e-05
314.18823684618803,-9.322694675800083,1.5238707405608047e-05
344.60950649911035,-9.935267300440021,1.770410121070563e-05
377.97631496846196,-10.607925556755895,2.0417455780267458e-05
414.57386399033265,-11.346562300246449,2.3455058249105468e-05
454.71496995311946,-12.157645404873001,2.6828700951504513e-05
498.7427376856724,-13.048281244694508,3.0614437824359594e-05
547.0334931349296,-14.026270777557054,3.48101245019933e-05
599.9999999999997,-15.100175089302002,3.94910236906919e-05
