Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-6.017453505392565,1.158583922233073e-06
164.52374695419385,-6.306889856877167,2.3500596088838664e-06
180.45375541231755,-6.624728072981486,4.030758048759728e-06
197.92618661593409,-6.973755613158926,5.54572102044657e-06
217.09038561605675,-7.357029057311195,7.086781367858562e-06
238.11015779522984,-7.7779071204714985,8.74766268228847e-06
261.1651689888373,-8.24008227594325,1.0582792530424132e-05
286.45248117312485,-8.747605227321378,1.2625416945556259e-05
314.18823684618803,-9.304918533344651,1.4824543133000593e-05
344.60950649911035,-9.916907164091295,1.7313828132211323e-05
377.97631496846196,-10.588934936284481,2.0046633716230378e-05
414.57386399033265,-11.326883871552143,2.309970748346451e-05
454.71496995311946,-12.13721958071772,2.6478845784418287e-05
498.7427376856724,-13.027050849751172,3.0217878532469445e-05
547.0334931349296,-14.004174829285656,3.4456963318003014e-05
599.9999999999997,-15.077145419860088,3.915807491934241e-05
