Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-6.0178480332404884,2.080116140573561e-05
164.52374695419385,-6.307251875010097,2.2418356855707278e-05
180.45375541231755,-6.625102259414993,2.4145554974333094e-05
197.92618661593409,-6.974191523679022,2.5972602864887505e-05
217.09038561605675,-7.3575711198938665,2.7991558945451857e-05
238.11015779522984,-7.778603303639144,3.01422340888966e-05
261.1651689888373,-8.240990455705516,3.237274079532181e-05
286.45248117312485,-8.748782631525273,3.4790778622501e-05
314.18823684618803,-9.306445281149662,3.746746925295116e-05
344.60950649911035,-9.918872676563712,4.036272612183634e-05
377.97631496846196,-10.591438656204343,4.3481102262738275e-05
414.57386399033265,-11.33003243367549,4.68790629621346e-05
454.71496995311946,-12.141130898141018,5.065606063329108e-05
498.7427376856724,-13.031958788477928,5.381148259866631e-05
547.0334931349296,-14.010333497264028,5.698848210213476e-05
599.9999999999997,-15.084332341932594,6.160610239075536e-05
