Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-6.012099840130759,2.1063271462653254e-05
164.52374695419385,-6.302240942625,2.2553588553466284e-05
180.45375541231755,-6.620942459333513,2.4118306027665264e-05
197.92618661593409,-6.970966155225194,2.5756061521868365e-05
217.09038561605675,-7.355377623742794,2.7594765874614423e-05
238.11015779522984,-7.777537163066379,2.9613108681012753e-05
261.1651689888373,-8.241153515739818,3.189355027108424e-05
286.45248117312485,-8.750296852331237,3.442737593145158e-05
314.18823684618803,-9.30941398777696,3.724218900568839e-05
344.60950649911035,-9.923407547134005,4.030310605650845e-05
377.97631496846196,-10.59766104031255,4.36027365747468e-05
414.57386399033265,-11.338094164965351,4.7179220547285164e-05
454.71496995311946,-12.151203736177436,5.104734115516466e-05
498.7427376856724,-13.044114571083986,5.522395305903009e-05
547.0334931349296,-14.02465637770496,5.970765223334321e-05
599.9999999999997,-15.100901144245904,6.497664153103843e-05
