Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-6.032354788348267,1.1992744264796911e-06
164.52374695419385,-6.322026430932029,2.3514840005967405e-06
180.45375541231755,-6.640124534416503,3.975357580239416e-06
197.92618661593409,-6.989430389092699,5.502011913714735e-06
217.09038561605675,-7.373002316978773,7.013253802930228e-06
238.11015779522984,-7.794207763508977,8.623598298097782e-06
261.1651689888373,-8.256738487037317,1.038747763546441e-05
286.45248117312485,-8.76464258920807,1.2389110211473526e-05
314.18823684618803,-9.322378309170194,1.4625944959553843e-05
344.60950649911035,-9.934839124867686,1.7077345929081817e-05
377.97631496846196,-10.607376240638995,1.9803555414164157e-05
414.57386399033265,-11.34587860609663,2.2838228162317856e-05
454.71496995311946,-12.156834192459879,2.618851044226606e-05
498.7427376856724,-13.047330405730737,2.992167119107906e-05
547.0334931349296,-14.025161667023806,3.412015089009013e-05
599.9999999999997,-15.098907095254884,3.8734737918647064e-05
