Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-6.052838701956396,7.53723817699566e-07
164.52374695419385,-6.3420783867107655,2.1117118368338148e-06
180.45375541231755,-6.659701809330576,3.8680240917795925e-06
197.92618661593409,-7.0084932206708075,5.452939619033819e-06
217.09038561605675,-7.391508644944286,7.038252483407656e-06
238.11015779522984,-7.812108209963348,8.700241462825884e-06
261.1651689888373,-8.273975750917362,1.0528003920226113e-05
286.45248117312485,-8.781160347006029,1.2512947732002622e-05
314.18823684618803,-9.338114061269241,1.4706321055474818e-05
344.60950649911035,-9.949706727097091,1.715904896343794e-05
377.97631496846196,-10.621300809051805,1.9948070108634358e-05
414.57386399033265,-11.35877691826709,2.295897463311308e-05
454.71496995311946,-12.16859266481421,2.6296837049913568e-05
498.7427376856724,-13.057871279754815,3.0030809737701758e-05
547.0334931349296,-14.034394707453234,3.418131130568761e-05
599.9999999999997,-15.106697355599977,3.880091759809623e-05
