Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-6.039262554858349,1.0794296148784366e-05
164.52374695419385,-6.329126534341145,1.1658980936402086e-05
180.45375541231755,-6.647441445889617,1.2585753069844848e-05
197.92618661593409,-6.996995355172187,1.3597345916912033e-05
217.09038561605675,-7.380853601271866,1.4679871297177387e-05
238.11015779522984,-7.802385272682093,1.5833063943202115e-05
261.1651689888373,-8.265282715770304,1.7078137765581374e-05
286.45248117312485,-8.77360705971985,1.8416325494432e-05
314.18823684618803,-9.331823178582557,1.9810266588295718e-05
344.60950649911035,-9.94481533210831,2.1299571326040697e-05
377.97631496846196,-10.617958695340524,2.2881027396757446e-05
414.57386399033265,-11.357170370216823,2.456976007504325e-05
454.71496995311946,-12.168928660157816,2.636597463422139e-05
498.7427376856724,-13.060349203034715,2.8265099862452835e-05
547.0334931349296,-14.039267292093399,3.025839117933113e-05
599.9999999999997,-15.11426540905548,3.277165844634969e-05
