Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-6.045929125707556,6.299883236970522e-07
164.52374695419385,-6.335680889631972,1.5649320822094532e-06
180.45375541231755,-6.6538642171193505,2.7609698866632926e-06
197.92618661593409,-7.003269800084057,3.881842128888522e-06
217.09038561605675,-7.386958472107159,4.999573178004512e-06
238.11015779522984,-7.808296521237584,6.228582579413105e-06
261.1651689888373,-8.270978198612404,7.539427415308027e-06
286.45248117312485,-8.779055926023947,8.930492940223097e-06
314.18823684618803,-9.336983703825382,1.046967335301425e-05
344.60950649911035,-9.949643446483455,1.2228165246201155e-05
377.97631496846196,-10.622411601980314,1.4164892342928773e-05
414.57386399033265,-11.361188284583985,1.6281624660685915e-05
454.71496995311946,-12.172438813106597,1.8684579583368176e-05
498.7427376856724,-13.063274033665326,2.1386934379098083e-05
547.0334931349296,-14.041502692895182,2.4381691083838467e-05
599.9999999999997,-15.115686783701506,2.7665945275998305e-05
