Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-6.003895020016156,1.258666081103518e-06
164.52374695419385,-6.29338243832471,2.4360888344689113e-06
180.45375541231755,-6.611275839492464,4.124072231871177e-06
197.92618661593409,-6.960362884662489,5.701091659253329e-06
217.09038561605675,-7.343700345540069,7.337771631961831e-06
238.11015779522984,-7.764652534696393,9.057723536643976e-06
261.1651689888373,-8.226913750758095,1.0916431710908655e-05
286.45248117312485,-8.73453218668602,1.2922171622275e-05
314.18823684618803,-9.291951450014498,1.516405216602137e-05
344.60950649911035,-9.904060810567199,1.7651449976069102e-05
377.97631496846196,-10.57622458555508,2.0425331534486867e-05
414.57386399033265,-11.31432705658801,2.3537273916088442e-05
454.71496995311946,-12.12484360493276,2.703566566535088e-05
498.7427376856724,-13.014877761264975,3.0912645124326814e-05
547.0334931349296,-13.992227114482072,3.511789987932601e-05
599.9999999999997,-15.065449741342709,3.983010436127959e-05
