Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-6.004062438690409,1.5810289263489185e-05
164.52374695419385,-6.29416466601956,1.70983968248948e-05
180.45375541231755,-6.612742924515222,1.849671065776503e-05
197.92618661593409,-6.962583438622547,2.002575773225625e-05
217.09038561605675,-7.3467523271242445,2.1634934968664024e-05
238.11015779522984,-7.768625053703976,2.3369955558951613e-05
261.1651689888373,-8.231903001113208,2.5233951772258944e-05
286.45248117312485,-8.740647223336882,2.720507185928055e-05
314.18823684618803,-9.299316892463793,2.9340104526650245e-05
344.60950649911035,-9.912825309527559,3.1582353447681005e-05
377.97631496846196,-10.58654603629601,3.3974754065791325e-05
414.57386399033265,-11.326368509673877,3.656892434970723e-05
454.71496995311946,-12.138777686245701,3.931487821546659e-05
498.7427376856724,-13.030892590590785,4.220039879627676e-05
547.0334931349296,-14.010533222271908,4.532272734762414e-05
599.9999999999997,-15.086303348284659,4.9179956221479125e-05
