Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-6.014091271862553,1.1069302925049535e-06
164.52374695419385,-6.304373170051385,1.8306206447250083e-06
180.45375541231755,-6.623135678842074,2.9385501134284855e-06
197.92618661593409,-6.973176135130527,3.9777843635634755e-06
217.09038561605675,-7.3575656377292304,5.057694621017488e-06
238.11015779522984,-7.779666977361437,6.173702113541956e-06
261.1651689888373,-8.243178276573477,7.4442007243215035e-06
286.45248117312485,-8.75215907007719,8.83360431128393e-06
314.18823684618803,-9.311068689038489,1.041563236848365e-05
344.60950649911035,-9.924816299876339,1.2151040276954478e-05
377.97631496846196,-10.598778519237984,1.4081426165759057e-05
414.57386399033265,-11.338850869988345,1.626327117790403e-05
454.71496995311946,-12.151515877546087,1.868352948842317e-05
498.7427376856724,-13.043891838566585,2.134805895557816e-05
547.0334931349296,-14.023796792819834,2.4259151257924686e-05
599.9999999999997,-15.099819259474497,2.753761931239136e-05
