Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-6.007035698621641,1.2750927409628315e-05
164.52374695419385,-6.297227032814709,1.3787084923637552e-05
180.45375541231755,-6.615947093179311,1.488450855301102e-05
197.92618661593409,-6.965998646060298,1.6005343649815425e-05
217.09038561605675,-7.350471921750706,1.7126114703219706e-05
238.11015779522984,-7.772750831396654,1.840479263255497e-05
261.1651689888373,-8.23651539545219,1.9809267056215703e-05
286.45248117312485,-8.745813204000612,2.134623844781148e-05
314.18823684618803,-9.305105519278602,2.3070572021546803e-05
344.60950649911035,-9.919294422868136,2.4963936747692153e-05
377.97631496846196,-10.593757454973405,2.697603526446343e-05
414.57386399033265,-11.334404940206959,2.9129584527867845e-05
454.71496995311946,-12.147734819202473,3.143798270681452e-05
498.7427376856724,-13.040889655673269,3.390325914002304e-05
547.0334931349296,-14.021700725837912,3.6513302595754925e-05
599.9999999999997,-15.098792869082425,3.9622010901991686e-05
