Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-5.9965243847073655,1.192260752328901e-06
164.52374695419385,-6.286041896688185,2.396382334632363e-06
180.45375541231755,-6.603970162158217,4.045915939716342e-06
197.92618661593409,-6.953091123168005,5.569624888320506e-06
217.09038561605675,-7.336466102096173,7.150455200499667e-06
238.11015779522984,-7.757456498063997,8.848642323220346e-06
261.1651689888373,-8.219755196846906,1.0674690170982488e-05
286.45248117312485,-8.727414016016136,1.2695005653902806e-05
314.18823684618803,-9.284875643529215,1.490567605945129e-05
344.60950649911035,-9.897033227492676,1.738974876948282e-05
377.97631496846196,-10.569244101360939,2.0170652031577953e-05
414.57386399033265,-11.307392273522778,2.315201362848315e-05
454.71496995311946,-12.117957902108781,2.6544190824870352e-05
498.7427376856724,-13.008046783858408,3.0331092244163816e-05
547.0334931349296,-13.985434577273534,3.457572450766676e-05
599.9999999999997,-15.058679557808707,3.916036338615603e-05
