Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-5.987338029170247,1.7804873892121305e-06
164.52374695419385,-6.277247917146535,2.78018376743066e-06
180.45375541231755,-6.5956029691706615,4.323370619933166e-06
197.92618661593409,-6.945191952444253,5.834143529927273e-06
217.09038561605675,-7.329083801344375,7.403897946291899e-06
238.11015779522984,-7.750638059703168,9.044317736816153e-06
261.1651689888373,-8.213546725316188,1.0899750424316922e-05
286.45248117312485,-8.721861886323145,1.294099247725281e-05
314.18823684618803,-9.280043003073107,1.5123146768742209e-05
344.60950649911035,-9.892980931147216,1.7530182841135227e-05
377.97631496846196,-10.566037967609043,2.0174881318753467e-05
414.57386399033265,-11.305124083295533,2.3181057459977474e-05
454.71496995311946,-12.116713876375758,2.649150725813432e-05
498.7427376856724,-13.007909583074937,3.0238095867644648e-05
547.0334931349296,-13.986507087077921,3.435193526204917e-05
599.9999999999997,-15.061064235343599,3.903843140470566e-05
