Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-5.9895596618192375,2.886769971135531e-05
164.52374695419385,-6.27952197243367,3.126396075543639e-05
180.45375541231755,-6.598000384681295,3.3887969334069354e-05
197.92618661593409,-6.947800022845461,3.678457293813691e-05
217.09038561605675,-7.331978163490652,3.9919030738989054e-05
238.11015779522984,-7.753889802430391,4.3340297721119976e-05
261.1651689888373,-8.217246589711653,4.708349990293093e-05
286.45248117312485,-8.726118551570861,5.1140711437953486e-05
314.18823684618803,-9.284963343896392,5.553763730082548e-05
344.60950649911035,-9.898695068071275,6.033688859943618e-05
377.97631496846196,-10.572717092078715,6.557435969278067e-05
414.57386399033265,-11.312949793810782,7.12950850059515e-05
454.71496995311946,-12.125883606932398,7.753586118493521e-05
498.7427376856724,-13.01866579703508,8.428079199342261e-05
547.0334931349296,-13.999154964669637,9.162610205616642e-05
599.9999999999997,-15.075735891897207,0.00010011385480894727
