Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-6.009457407007668,1.727047154375216e-05
164.52374695419385,-6.299749319097928,1.8819281361201983e-05
180.45375541231755,-6.618540757793061,2.0520029253691026e-05
197.92618661593409,-6.968626346642149,2.2374772883561532e-05
217.09038561605675,-7.353075793038061,2.4378740372886445e-05
238.11015779522984,-7.775258904001843,2.6559371627383002e-05
261.1651689888373,-8.238875443429599,2.8947850012047652e-05
286.45248117312485,-8.74800018303597,3.1542421626322476e-05
314.18823684618803,-9.307102631574796,3.4357568175322e-05
344.60950649911035,-9.92107830707615,3.7408590957430714e-05
377.97631496846196,-10.595312582250287,4.0728869270426345e-05
414.57386399033265,-11.335726968184927,4.436690843182021e-05
454.71496995311946,-12.14881404481494,4.831228382931971e-05
498.7427376856724,-13.041704467578848,5.263228724578909e-05
547.0334931349296,-14.022256735974466,5.7277317713007975e-05
599.9999999999997,-15.099069961629496,6.255189086172119e-05
