Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-5.997922858657878,1.6674358025549647e-05
164.52374695419385,-6.28728055067084,1.8016574097662386e-05
180.45375541231755,-6.60505913380045,1.9455381390673806e-05
197.92618661593409,-6.954040044712157,2.1022744913082914e-05
217.09038561605675,-7.33727673076631,2.2721425453668933e-05
238.11015779522984,-7.758134346648203,2.454394439917891e-05
261.1651689888373,-8.220309934555145,2.6495612213717787e-05
286.45248117312485,-8.7278542496453,2.8604182907854562e-05
314.18823684618803,-9.28522926079929,3.08459227234982e-05
344.60950649911035,-9.897318992611085,3.3238927940796525e-05
377.97631496846196,-10.569497051207916,3.584211576225842e-05
414.57386399033265,-11.307664942231572,3.861081585165749e-05
454.71496995311946,-12.118307786831423,4.1528723526761046e-05
498.7427376856724,-13.008565077389102,4.454349392975497e-05
547.0334931349296,-13.986416821233325,4.705416820329072e-05
599.9999999999997,-15.060356796868962,5.063036520218851e-05
