Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-5.980114274689813,2.978984773689259e-05
164.52374695419385,-6.269652345646862,3.194475006709339e-05
180.45375541231755,-6.587722573035836,3.418373832092031e-05
197.92618661593409,-6.937093411239434,3.660421721001924e-05
217.09038561605675,-7.320842332887727,3.9206941247140495e-05
238.11015779522984,-7.742335165917919,4.207130510677438e-05
261.1651689888373,-8.205271636159704,4.529509586947505e-05
286.45248117312485,-8.713716841795113,4.884172523751966e-05
314.18823684618803,-9.272131940592313,5.270091027189074e-05
344.60950649911035,-9.885402892698108,5.7025326421399375e-05
377.97631496846196,-10.558905222895962,6.176890847761466e-05
414.57386399033265,-11.298553654057866,6.697178801716447e-05
454.71496995311946,-12.110838280874935,7.275231633931311e-05
498.7427376856724,-13.002899846754886,7.909100615797072e-05
547.0334931349296,-13.982634537997114,8.604833011223888e-05
599.9999999999997,-15.0582540397271,9.398815473238251e-05
